GEO_Accession,sample_id
GSM4957182,is_133_001
GSM4957183,is_133_002
GSM4957184,is_133_003
GSM4957185,is_133_004
GSM4957186,is_133_005
GSM4957187,is_133_006
GSM4957188,is_133_007
GSM4957189,is_133_008
GSM4957190,is_133_009
GSM4957191,is_133_010
GSM4957192,is_133_011
GSM4957193,is_133_012
GSM4957194,is_133_013
GSM4957195,is_133_014
GSM4957196,is_133_015
GSM4957197,is_133_016
GSM4957198,is_133_017
GSM4957199,is_133_018
GSM4957200,is_133_019
GSM4957201,is_133_020
GSM4957202,is_133_021
GSM4957203,is_133_022
GSM4957204,is_133_023
GSM4957205,is_133_024
GSM4957206,is_133_025
GSM4957207,is_133_026
GSM4957208,is_133_027
GSM4957209,is_133_028
GSM4957210,is_133_029
GSM4957211,is_133_030
GSM4957212,is_133_031
GSM4957213,is_133_032
GSM4957214,is_133_033
GSM4957215,is_133_034
GSM4957216,is_133_035
GSM4957217,is_133_036
GSM4957218,is_133_037
GSM4957219,is_133_038
GSM4957220,is_133_039
GSM4957221,is_133_040
GSM4957222,is_133_041
GSM4957223,is_133_042
GSM4957224,is_133_043
GSM4957225,is_133_044
GSM4957226,is_133_045
GSM4957227,is_133_046
GSM4957228,is_133_047
GSM4957229,is_133_048
GSM4957230,is_133_049
GSM4957231,is_133_050
GSM4957232,is_133_051
GSM4957233,is_133_052
GSM4957234,is_133_053
GSM4957235,is_133_054
GSM4957236,is_133_055
GSM4957237,is_133_056
GSM4957238,is_133_057
GSM4957239,is_133_058
GSM4957240,is_133_060
